Timestamp,Green,Blue,Control,Temp(C),Humidity(%)
05/03/2026 02:38,3479,3491,3595,26,60
05/03/2026 02:53,3478,3491,3577,26,60
05/03/2026 03:08,3477,3493,3578,26,60
05/03/2026 03:23,3475,3494,3587,26,60
05/03/2026 03:38,3475,3492,3581,26,61
05/03/2026 03:53,3476,3484,3591,25.9,61
05/03/2026 04:08,3484,3497,3591,25.9,61
05/03/2026 04:23,3482,3499,3593,25.9,61
05/03/2026 04:38,3475,3501,3590,25.8,61
05/03/2026 04:53,3479,3499,3593,25.7,61
05/03/2026 05:08,3479,3499,3589,25.5,60
05/03/2026 05:23,3480,3499,3594,25.4,60
05/03/2026 05:38,3479,3503,3593,25.3,59
05/03/2026 05:53,3482,3497,3593,25.3,59
05/03/2026 06:08,3471,3491,3593,25.4,59
05/03/2026 06:23,3482,3509,3595,25.4,59
05/03/2026 06:38,3482,3499,3594,25.4,59
05/03/2026 06:54,3480,3501,3595,25.4,59
05/03/2026 07:09,3478,3499,3595,25.4,59
05/03/2026 07:24,3481,3497,3599,25.4,59
05/03/2026 07:39,3476,3497,3595,25.4,59
05/03/2026 07:54,3480,3502,3597,25.4,60
05/03/2026 08:09,3478,3503,3595,25.4,60
05/03/2026 08:24,3479,3503,3595,25.4,60
05/03/2026 08:39,3480,3497,3597,25.4,60
05/03/2026 08:54,3480,3507,3593,25.4,60
05/03/2026 09:09,3478,3494,3595,25.4,60
05/03/2026 09:24,3487,3495,3597,25.4,60
05/03/2026 09:39,3483,3508,3592,25.4,60
05/03/2026 09:54,3479,3503,3595,25.3,60
05/03/2026 10:09,3481,3499,3595,25.3,60
05/03/2026 10:24,3479,3500,3593,25.3,60
05/03/2026 10:39,3482,3499,3593,25.3,60
05/03/2026 10:54,3479,3498,3595,25.3,60
05/03/2026 11:09,3485,3501,3596,25.3,60
05/03/2026 11:24,3481,3509,3595,25.3,60
05/03/2026 11:39,3483,3499,3595,25.3,60
05/03/2026 11:54,3480,3496,3593,25.3,60
05/03/2026 12:09,3477,3495,3595,25.3,60
05/03/2026 12:24,3487,3507,3597,25.3,60
05/03/2026 12:39,3481,3503,3599,25.3,60
05/03/2026 12:54,3480,3499,3596,25.3,60
05/03/2026 13:09,3484,3500,3595,25.4,60
05/03/2026 13:24,3484,3503,3599,25.4,60
05/03/2026 13:39,3483,3503,3601,25.4,60
05/03/2026 13:54,3484,3503,3601,25.4,60
05/03/2026 14:09,3475,3499,3596,25.5,60
05/03/2026 14:24,3482,3499,3601,25.5,60
05/03/2026 14:39,3480,3503,3601,25.5,59
05/03/2026 14:54,3486,3501,3599,25.5,59
05/03/2026 15:09,3478,3501,3597,25.6,59
05/03/2026 15:24,3480,3501,3601,25.6,59
05/03/2026 15:39,3483,3501,3599,25.7,58
05/03/2026 15:55,3483,3511,3603,25.7,58
05/03/2026 16:10,3481,3507,3603,25.8,58
05/03/2026 16:25,3483,3507,3605,25.8,58
05/03/2026 16:40,3485,3513,3607,25.8,58
05/03/2026 16:55,3492,3516,3611,25.9,58
05/03/2026 17:10,3484,3510,3609,25.9,58
05/03/2026 17:25,3487,3513,3612,26,58
05/03/2026 17:40,3484,3515,3611,26.1,57
05/03/2026 17:55,3484,3508,3611,26.1,57
05/03/2026 18:10,3481,3495,3612,26.2,57
05/03/2026 18:25,3482,3509,3611,26.2,57
05/03/2026 18:40,3491,3511,3613,26.2,57
05/03/2026 18:55,3484,3503,3607,26.2,57
05/03/2026 19:10,3483,3503,3611,26.3,57
05/03/2026 19:25,3481,3503,3609,26.3,57
05/03/2026 19:40,3484,3509,3607,26.3,56
05/03/2026 19:55,3483,3501,3613,26.3,56
05/03/2026 20:10,3486,3511,3609,26.3,56
05/03/2026 20:25,3486,3509,3612,26.3,56
05/03/2026 20:40,3491,3507,3611,26.4,56
05/03/2026 20:55,3488,3511,3615,26.4,56
05/03/2026 21:10,3485,3503,3612,26.5,56
05/03/2026 21:25,3483,3508,3613,26.6,56
05/03/2026 21:40,3485,3513,3615,26.6,56
05/03/2026 21:55,3484,3501,3611,26.6,56
05/03/2026 22:10,3479,3511,3611,26.6,56
05/03/2026 22:25,3477,3497,3555,26.6,56
05/03/2026 22:40,3475,3487,3613,26.7,56
05/03/2026 22:55,3470,3493,3611,26.7,56
05/03/2026 23:10,3468,3479,3609,26.8,56
05/03/2026 23:25,3475,3479,3609,26.8,56
05/03/2026 23:40,3474,3493,3611,26.9,56
05/03/2026 23:56,3474,3487,3611,26.9,56
06/03/2026 00:11,3469,3467,3611,26.9,56
06/03/2026 00:26,3476,3471,3610,26.9,57
06/03/2026 00:41,3491,3469,3609,26.9,57
06/03/2026 00:56,3471,3470,3611,26.9,57
06/03/2026 01:11,3478,3468,3611,26.9,57
06/03/2026 01:26,3479,3479,3611,27,58
06/03/2026 01:41,3470,3455,3612,27,58
06/03/2026 01:56,3475,3455,3609,27,58
06/03/2026 02:11,3475,3455,3610,27,58
06/03/2026 02:26,3469,3465,3609,27,58
06/03/2026 02:41,3496,3451,3609,27,58
06/03/2026 02:56,3469,3453,3609,27,59
06/03/2026 03:11,3476,3449,3611,27,59
06/03/2026 03:26,3468,3453,3611,27,59
06/03/2026 03:41,3475,3463,3613,27.1,59
06/03/2026 03:56,3470,3447,3609,27.1,59
06/03/2026 04:11,3468,3448,3608,27.1,59
06/03/2026 04:26,3471,3451,3611,27.1,59
06/03/2026 04:41,3475,3455,3612,27.1,59
06/03/2026 04:56,3470,3452,3610,27,59
06/03/2026 05:11,3467,3447,3608,26.9,59
06/03/2026 05:26,3479,3425,3607,26.8,58
06/03/2026 05:41,3471,3445,3606,26.8,58
06/03/2026 05:56,3468,3447,3606,26.8,57
06/03/2026 06:11,3478,3447,3608,26.8,57
06/03/2026 06:26,3468,3447,3607,26.8,57
06/03/2026 06:41,3476,3445,3609,26.8,57
06/03/2026 06:56,3471,3443,3610,26.8,57
06/03/2026 07:11,3479,3447,3609,26.8,57
06/03/2026 07:26,3471,3446,3608,26.8,57
06/03/2026 07:41,3475,3447,3610,26.8,57
06/03/2026 07:56,3477,3437,3607,26.8,57
06/03/2026 08:11,3475,3445,3609,26.8,57
06/03/2026 08:26,3481,3463,3611,26.8,57
06/03/2026 08:41,3475,3443,3608,26.8,57
06/03/2026 08:56,3469,3447,3607,26.8,57
06/03/2026 09:11,3481,3443,3607,26.7,57
06/03/2026 09:26,3476,3444,3607,26.7,57
06/03/2026 09:41,3475,3447,3602,26.7,57
06/03/2026 09:56,3475,3435,3606,26.7,57
06/03/2026 10:11,3472,3447,3605,26.6,57
06/03/2026 10:26,3463,3445,3603,26.6,57
06/03/2026 10:42,3467,3440,3601,26.6,57
06/03/2026 10:57,3471,3445,3596,26.6,57
06/03/2026 11:12,3475,3439,3603,26.6,57
06/03/2026 11:27,3471,3447,3604,26.6,57
06/03/2026 11:42,3473,3435,3599,26.6,57
06/03/2026 11:57,3479,3443,3603,26.6,57
06/03/2026 12:12,3471,3443,3603,26.6,56
06/03/2026 12:27,3479,3443,3602,26.5,56
06/03/2026 12:42,3471,3440,3597,26.5,56
06/03/2026 12:57,3469,3443,3603,26.5,56
06/03/2026 13:12,3468,3445,3606,26.4,56
06/03/2026 13:27,3470,3443,3603,26.4,56
06/03/2026 13:42,3470,3445,3601,26.3,56
06/03/2026 13:57,3471,3447,3607,26.3,55
06/03/2026 14:12,3470,3445,3605,26.2,55
06/03/2026 14:27,3468,3439,3604,26.1,55
06/03/2026 14:42,3471,3497,3605,26.1,54
06/03/2026 14:57,3455,3445,3602,26.1,54
06/03/2026 15:12,3468,3443,3605,26.1,54
06/03/2026 15:27,3470,3429,3603,26.1,54
06/03/2026 15:42,3469,3439,3605,26.2,54
06/03/2026 15:57,3479,3443,3607,26.2,55
06/03/2026 16:12,3469,3439,3605,26.2,55
06/03/2026 16:27,3475,3437,3607,26.3,56
06/03/2026 16:42,3474,3439,3608,26.3,56
06/03/2026 16:57,3479,3449,3607,26.3,56
06/03/2026 17:12,3471,3440,3606,26.2,56
06/03/2026 17:27,3468,3439,3607,26.2,56
06/03/2026 17:42,3476,3438,3609,26.2,57
06/03/2026 17:57,3469,3439,3607,26.2,57
06/03/2026 18:12,3471,3445,3606,26.2,57
06/03/2026 18:27,3475,3423,3612,26.2,57
06/03/2026 18:42,3476,3437,3607,26.1,56
